pos,timestamps,availabilty
0,2022-08-15 10:13:30.947597,1
1,2022-08-15 10:13:30.947597,0
2,2022-08-15 10:13:30.947597,0
0,2022-08-15 10:13:37.024424,1
1,2022-08-15 10:13:37.024424,0
2,2022-08-15 10:13:37.024424,1
0,2022-08-15 10:13:43.041150,1
1,2022-08-15 10:13:43.041150,0
2,2022-08-15 10:13:43.041150,1
0,2022-08-15 10:13:49.063033,1
1,2022-08-15 10:13:49.063033,0
2,2022-08-15 10:13:49.063033,1
0,2022-08-15 10:13:55.078867,1
1,2022-08-15 10:13:55.078867,0
2,2022-08-15 10:13:55.078867,0
0,2022-08-15 10:14:01.096521,1
1,2022-08-15 10:14:01.096521,0
2,2022-08-15 10:14:01.096521,1
0,2022-08-15 10:14:07.109198,1
1,2022-08-15 10:14:07.109198,0
2,2022-08-15 10:14:07.109198,1
0,2022-08-15 10:14:13.125473,1
1,2022-08-15 10:14:13.125473,0
2,2022-08-15 10:14:13.125473,1
0,2022-08-15 10:14:19.138306,1
1,2022-08-15 10:14:19.138306,0
2,2022-08-15 10:14:19.138306,1
0,2022-08-15 10:14:25.152956,1
1,2022-08-15 10:14:25.152956,0
2,2022-08-15 10:14:25.152956,1
